YouTubeID,Start,End,Labels1,Labels2,AllLabels
CnnszUoFGcQ,0.0,10.0," ""/m/07rn7sz","/m/09x0r"""," ""/m/07rn7sz, /m/09x0r"""
CosD0DxYzCk,30.0,40.0," ""/m/09x0r","/m/0fqfqc"""," ""/m/09x0r, /m/0fqfqc"""
CpPa8PsCjSY,0.0,10.0," ""/m/07qyrcz","/m/09x0r"""," ""/m/07qyrcz, /m/09x0r"""
CpoX-mbf2sA,360.0,370.0," ""/m/09x0r","/m/0fqfqc"""," ""/m/09x0r, /m/0fqfqc"""
Cq9_hnJw5Rs,400.0,410.0," ""/m/09x0r","/m/0l15bq"""," ""/m/09x0r, /m/0l15bq"""
CqWsb_bPiqI,280.0,290.0," ""/m/09x0r","/m/0dv5r"""," ""/m/09x0r, /m/0dv5r"""
Cr8E6wkiOP4,30.0,40.0," ""/m/07r_k2n","/m/09x0r"""," ""/m/07r_k2n, /m/09x0r"""
CtI5lZhQI88,30.0,40.0," ""/m/07q7njn","/m/09x0r"""," ""/m/07q7njn, /m/09x0r"""
CuHz9e9JMSw,30.0,40.0," ""/m/09x0r","/m/0c2wf"""," ""/m/09x0r, /m/0c2wf"""
CvtyMiEwoTs,0.0,10.0," ""/m/07qyrcz","/m/09x0r"""," ""/m/07qyrcz, /m/09x0r"""
CyaQhHjAMKU,70.0,80.0," ""/m/07rrlb6","/m/09x0r"""," ""/m/07rrlb6, /m/09x0r"""
D-c9nA6GyfA,10.0,20.0," ""/m/07qqyl4","/m/09x0r"""," ""/m/07qqyl4, /m/09x0r"""
D0M-XV6EkSs,0.0,2.0," ""/m/025_jnm","/m/09x0r"""," ""/m/025_jnm, /m/09x0r"""
D14QMp6dz0U,2.0,12.0," ""/m/02fs_r","/m/09x0r"""," ""/m/02fs_r, /m/09x0r"""
D1FG_2cv9L8,0.0,10.0," ""/m/07ppn3j","/m/09x0r"""," ""/m/07ppn3j, /m/09x0r"""
D2_KIhSbmt0,40.0,50.0," ""/m/09x0r","/m/0c3f7m"""," ""/m/09x0r, /m/0c3f7m"""
D2rHn_pXeoQ,220.0,230.0," ""/m/07pbtc8","/m/09x0r"""," ""/m/07pbtc8, /m/09x0r"""
D3KuNU7Q9Wg,5.0,15.0," ""/m/07q0yl5","/m/09x0r"""," ""/m/07q0yl5, /m/09x0r"""
D813H2gMS6A,380.0,390.0," ""/m/07plz5l","/m/09x0r"""," ""/m/07plz5l, /m/09x0r"""
D9XwWCyBSOo,30.0,40.0," ""/m/01lsmm","/m/09x0r"""," ""/m/01lsmm, /m/09x0r"""
DCBOS2UWKAA,30.0,40.0," ""/m/03k3r","/m/09x0r"""," ""/m/03k3r, /m/09x0r"""
DD0Ry32NP5c,16.0,26.0," ""/m/05x_td","/m/09x0r"""," ""/m/05x_td, /m/09x0r"""
DHsm756LKsA,50.0,60.0," ""/m/09x0r","/m/0gy1t2s"""," ""/m/09x0r, /m/0gy1t2s"""
DJF7cOpR_l0,150.0,160.0," ""/m/01h8n0","/m/09x0r"""," ""/m/01h8n0, /m/09x0r"""
DJYDOnuLnf8,140.0,150.0," ""/m/09x0r","/t/dd00112"""," ""/m/09x0r, /t/dd00112"""
DKa6ysRi2mw,110.0,120.0," ""/m/024dl","/m/09x0r"""," ""/m/024dl, /m/09x0r"""
DKgFX2hnBdo,30.0,40.0," ""/m/07pc8lb","/m/09x0r"""," ""/m/07pc8lb, /m/09x0r"""
DLMRjbqrdRk,130.0,140.0," ""/m/01g90h","/m/09x0r"""," ""/m/01g90h, /m/09x0r"""
DMp-ahv7T0w,60.0,70.0," ""/m/01lsmm","/m/09x0r"""," ""/m/01lsmm, /m/09x0r"""
DMzOzYeanGI,50.0,60.0," ""/m/07cx4","/m/09x0r"""," ""/m/07cx4, /m/09x0r"""
DNiZ3Pu-KYc,440.0,450.0," ""/m/06_y0by","/m/09x0r"""," ""/m/06_y0by, /m/09x0r"""
DOrsyJmzS0Q,30.0,40.0," ""/m/01m4t","/m/09x0r"""," ""/m/01m4t, /m/09x0r"""
DS5jaDwKk-Q,30.0,40.0," ""/m/01lsmm","/m/09x0r"""," ""/m/01lsmm, /m/09x0r"""
DTtm0QxR-Ew,30.0,40.0," ""/m/02qldy","/m/09x0r"""," ""/m/02qldy, /m/09x0r"""
DV6HMoZhvG0,21.0,31.0," ""/m/09x0r","/t/dd00018"""," ""/m/09x0r, /t/dd00018"""
DWSGJ-hG4RM,30.0,40.0," ""/m/07c52","/m/09x0r"""," ""/m/07c52, /m/09x0r"""
DYlIBmbEP24,30.0,40.0," ""/m/02qldy","/m/09x0r"""," ""/m/02qldy, /m/09x0r"""
Dal2q-QwFxg,13.0,23.0," ""/m/01m2v","/m/09x0r"""," ""/m/01m2v, /m/09x0r"""
DfVMOMmgJNM,50.0,60.0," ""/m/01z47d","/m/09x0r"""," ""/m/01z47d, /m/09x0r"""
DiBvhx60rBg,530.0,540.0," ""/m/0316dw","/m/09x0r"""," ""/m/0316dw, /m/09x0r"""
DiydOhZ22jE,210.0,220.0," ""/m/07qb_dv","/m/09x0r"""," ""/m/07qb_dv, /m/09x0r"""
DkCIFy4OWno,10.0,20.0," ""/m/01b_21","/m/09x0r"""," ""/m/01b_21, /m/09x0r"""
DnMM-2EQSQc,30.0,40.0," ""/m/07qlwh6","/m/09x0r"""," ""/m/07qlwh6, /m/09x0r"""
Doa7n4YDNJw,0.0,10.0," ""/m/07rv9rh","/m/09x0r"""," ""/m/07rv9rh, /m/09x0r"""
DpZWsx7qDFc,30.0,40.0," ""/m/07qjznt","/m/09x0r"""," ""/m/07qjznt, /m/09x0r"""
DplAor_l88w,30.0,40.0," ""/m/081rb","/m/09x0r"""," ""/m/081rb, /m/09x0r"""
DqTWgefdYz8,90.0,100.0," ""/m/07ppn3j","/m/09x0r"""," ""/m/07ppn3j, /m/09x0r"""
DquIIBo_nwk,170.0,180.0," ""/m/01lsmm","/m/09x0r"""," ""/m/01lsmm, /m/09x0r"""
DvMea0fVZiM,120.0,130.0," ""/m/08j51y","/m/09x0r"""," ""/m/08j51y, /m/09x0r"""
DvhvrR1Bwoc,30.0,40.0," ""/m/09x0r","/m/0fqfqc"""," ""/m/09x0r, /m/0fqfqc"""
DwqZwA1sDaQ,60.0,70.0," ""/m/09x0r","/t/dd00127"""," ""/m/09x0r, /t/dd00127"""
Dx9Mh8_fpD8,30.0,40.0," ""/m/0463cq4","/m/09x0r"""," ""/m/0463cq4, /m/09x0r"""
Dz8filbrC98,40.0,50.0," ""/m/0939n_","/m/09x0r"""," ""/m/0939n_, /m/09x0r"""
DzK0mQER28A,30.0,40.0," ""/m/07pjwq1","/m/09x0r"""," ""/m/07pjwq1, /m/09x0r"""
DzPgOLFJOzI,540.0,550.0," ""/m/07q0yl5","/m/09x0r"""," ""/m/07q0yl5, /m/09x0r"""
E-f_YcMcIK0,10.0,20.0," ""/m/09x0r","/m/0g6b5"""," ""/m/09x0r, /m/0g6b5"""
E0WTUcp85_0,130.0,140.0," ""/m/09x0r","/m/0brhx"""," ""/m/09x0r, /m/0brhx"""
E41aa_pIGtM,100.0,110.0," ""/m/024dl","/m/09x0r"""," ""/m/024dl, /m/09x0r"""
E9vVmkq9Puc,30.0,40.0," ""/m/09x0r","/m/0brhx"""," ""/m/09x0r, /m/0brhx"""
EENlHfnNRgg,0.0,8.0," ""/m/09x0r","/m/0dv3j"""," ""/m/09x0r, /m/0dv3j"""
EGZ7G6X8FAI,240.0,250.0," ""/m/01x3z","/m/09x0r"""," ""/m/01x3z, /m/09x0r"""
EGkAJINaFTk,30.0,40.0," ""/m/07r_k2n","/m/09x0r"""," ""/m/07r_k2n, /m/09x0r"""
EHNjYIXO7x4,0.0,10.0," ""/m/07r660_","/m/09x0r"""," ""/m/07r660_, /m/09x0r"""
EIJgdRZgeGA,40.0,50.0," ""/m/025wky1","/m/09x0r"""," ""/m/025wky1, /m/09x0r"""
EIk1JyvtV-M,340.0,350.0," ""/m/07qc9xj","/m/09x0r"""," ""/m/07qc9xj, /m/09x0r"""
EIqfLuASe_c,13.0,23.0," ""/m/02y_763","/m/09x0r"""," ""/m/02y_763, /m/09x0r"""
EJEkxlF581w,360.0,370.0," ""/m/07pp8cl","/m/09x0r"""," ""/m/07pp8cl, /m/09x0r"""
EL0KxeMuGEA,110.0,120.0," ""/m/09x0r","/m/0l15bq"""," ""/m/09x0r, /m/0l15bq"""
ELSDh7LPMRc,0.0,7.0," ""/m/07q0h5t","/m/09x0r"""," ""/m/07q0h5t, /m/09x0r"""
EMo5VRYZW0s,30.0,40.0," ""/m/02cz_7","/m/09x0r"""," ""/m/02cz_7, /m/09x0r"""
EO0qcQvMZag,70.0,80.0," ""/m/0939n_","/m/09x0r"""," ""/m/0939n_, /m/09x0r"""
EO37fKGA9J0,13.0,23.0," ""/m/07r4wb8","/m/09x0r"""," ""/m/07r4wb8, /m/09x0r"""
EQlvSJUawq8,29.0,39.0," ""/m/07qjznl","/m/09x0r"""," ""/m/07qjznl, /m/09x0r"""
ESOe_13WYfY,70.0,80.0," ""/m/081rb","/m/09x0r"""," ""/m/081rb, /m/09x0r"""
EVxPhpPTVeU,570.0,580.0," ""/m/07pyy8b","/m/09x0r"""," ""/m/07pyy8b, /m/09x0r"""
EY6bTya095c,30.0,40.0," ""/m/01m4t","/m/09x0r"""," ""/m/01m4t, /m/09x0r"""
EY9WIUNU1qw,0.0,10.0," ""/m/01hsr_","/m/09x0r"""," ""/m/01hsr_, /m/09x0r"""
EacJsCirabE,30.0,40.0," ""/m/07r5c2p","/m/09x0r"""," ""/m/07r5c2p, /m/09x0r"""
EedbUsApuos,50.0,60.0," ""/m/081rb","/m/09x0r"""," ""/m/081rb, /m/09x0r"""
Ef2i7J21oqg,240.0,250.0," ""/m/07q6cd_","/m/09x0r"""," ""/m/07q6cd_, /m/09x0r"""
Ef_bqxp6CC0,30.0,40.0," ""/m/01m4t","/m/09x0r"""," ""/m/01m4t, /m/09x0r"""
Em4jQX5TleU,240.0,250.0," ""/m/07bjf","/m/09x0r"""," ""/m/07bjf, /m/09x0r"""
Eo_jCycp6Qo,370.0,380.0," ""/m/09x0r","/m/0dv5r"""," ""/m/09x0r, /m/0dv5r"""
EpOg9PofAMU,150.0,160.0," ""/m/01m4t","/m/09x0r"""," ""/m/01m4t, /m/09x0r"""
EpOxIPicC7U,30.0,40.0," ""/m/09x0r","/t/dd00002"""," ""/m/09x0r, /t/dd00002"""
EqS6PGLdmNk,20.0,30.0," ""/m/012xff","/m/04rlf"""," ""/m/012xff, /m/04rlf"""
ErEPEeszRUI,440.0,450.0," ""/m/07s2xch","/m/09x0r"""," ""/m/07s2xch, /m/09x0r"""
ErZ6S54lpqI,30.0,40.0," ""/m/02zsn","/m/09x0r"""," ""/m/02zsn, /m/09x0r"""
EstYdDMsHWQ,30.0,40.0," ""/m/081rb","/m/09x0r"""," ""/m/081rb, /m/09x0r"""
EuvNA-fGZG4,30.0,40.0," ""/m/0199g","/m/09x0r"""," ""/m/0199g, /m/09x0r"""
Ev9MUVSr69Q,180.0,190.0," ""/m/01j4z9","/m/09x0r"""," ""/m/01j4z9, /m/09x0r"""
EvlJCOeIb_M,10.0,20.0," ""/m/03cczk","/m/09x0r"""," ""/m/03cczk, /m/09x0r"""
ExndFnmXo0g,0.0,10.0," ""/m/07swgks","/m/09x0r"""," ""/m/07swgks, /m/09x0r"""
Ezz7wkASzaw,220.0,230.0," ""/m/01m4t","/m/09x0r"""," ""/m/01m4t, /m/09x0r"""
F1GumzX6hqo,100.0,110.0," ""/m/07qlwh6","/m/09x0r"""," ""/m/07qlwh6, /m/09x0r"""
F3dasUA6LqU,120.0,130.0," ""/m/09x0r","/m/0c3f7m"""," ""/m/09x0r, /m/0c3f7m"""
F4MNazlTSQM,50.0,60.0," ""/m/0261r1","/m/09x0r"""," ""/m/0261r1, /m/09x0r"""
F4obH9is-EE,60.0,70.0," ""/m/014yck","/m/09x0r"""," ""/m/014yck, /m/09x0r"""
F5VpAUMZf0E,0.0,10.0," ""/m/015jpf","/m/09x0r"""," ""/m/015jpf, /m/09x0r"""
F5tWcNKDPH4,230.0,240.0," ""/m/09t49","/m/09x0r"""," ""/m/09t49, /m/09x0r"""
F94bOCcZPSs,30.0,40.0," ""/m/02g901","/m/09x0r"""," ""/m/02g901, /m/09x0r"""
F9ZsFHquC_c,60.0,70.0," ""/m/09x0r","/m/0lyf6"""," ""/m/09x0r, /m/0lyf6"""
FAX8Twagbvg,90.0,100.0," ""/m/03q5_w","/m/09x0r"""," ""/m/03q5_w, /m/09x0r"""
FFOh05nUGSE,30.0,40.0," ""/m/07q0h5t","/m/09x0r"""," ""/m/07q0h5t, /m/09x0r"""
FFYKGy4LXLw,110.0,120.0," ""/m/024dl","/m/09x0r"""," ""/m/024dl, /m/09x0r"""
FGfpmGATANA,190.0,200.0," ""/m/07qcpgn","/m/09x0r"""," ""/m/07qcpgn, /m/09x0r"""
FI8oYuHkjMU,0.0,10.0," ""/m/02z32qm","/m/09x0r"""," ""/m/02z32qm, /m/09x0r"""
FKKd0FTLz3A,210.0,220.0," ""/m/02x984l","/m/09x0r"""," ""/m/02x984l, /m/09x0r"""
FLBKeC8t62A,90.0,100.0," ""/m/07r4wb8","/m/09x0r"""," ""/m/07r4wb8, /m/09x0r"""
FMGKa7fz398,30.0,40.0," ""/m/05rj2","/m/09x0r"""," ""/m/05rj2, /m/09x0r"""
FNUdbq7zdHQ,10.0,20.0," ""/m/07rkbfh","/m/09x0r"""," ""/m/07rkbfh, /m/09x0r"""
FSBgQlC7hR8,60.0,70.0," ""/m/07pyy8b","/m/09x0r"""," ""/m/07pyy8b, /m/09x0r"""
FSI6kyGSk1k,30.0,40.0," ""/m/07p6mqd","/m/09x0r"""," ""/m/07p6mqd, /m/09x0r"""
FV8WYs6mf6w,200.0,210.0," ""/m/09x0r","/m/0lyf6"""," ""/m/09x0r, /m/0lyf6"""
FVwfDaHqIps,30.0,40.0," ""/m/07rv9rh","/m/09x0r"""," ""/m/07rv9rh, /m/09x0r"""
FWOzVPT9nZI,250.0,260.0," ""/m/07pyy8b","/m/09x0r"""," ""/m/07pyy8b, /m/09x0r"""
FWzBYrePd4Q,180.0,190.0," ""/m/07s04w4","/m/09x0r"""," ""/m/07s04w4, /m/09x0r"""
FX_VjLNCp6s,30.0,40.0," ""/m/025wky1","/m/09x0r"""," ""/m/025wky1, /m/09x0r"""
FYrDBOby9EA,30.0,40.0," ""/m/07qlf79","/m/09x0r"""," ""/m/07qlf79, /m/09x0r"""
FYrvjotLnUE,490.0,500.0," ""/g/122z_qxw","/m/09x0r"""," ""/g/122z_qxw, /m/09x0r"""
F_0d2WvA3dw,180.0,190.0," ""/m/05rj2","/m/09x0r"""," ""/m/05rj2, /m/09x0r"""
FbXjCKCuWDg,30.0,40.0," ""/m/07pjwq1","/m/09x0r"""," ""/m/07pjwq1, /m/09x0r"""
FdGfzGC7hPw,30.0,40.0," ""/m/07qdb04","/m/09x0r"""," ""/m/07qdb04, /m/09x0r"""
Fe5Pov1c4J0,170.0,180.0," ""/m/09x0r","/m/0dl9sf8"""," ""/m/09x0r, /m/0dl9sf8"""
FhkRnkHahb8,20.0,30.0," ""/m/07r4k75","/m/09x0r"""," ""/m/07r4k75, /m/09x0r"""
FiBon2vPDvY,0.0,10.0," ""/m/09x0r","/m/0fqfqc"""," ""/m/09x0r, /m/0fqfqc"""
FiFlZcSfN3E,280.0,290.0," ""/m/025wky1","/m/09x0r"""," ""/m/025wky1, /m/09x0r"""
FlofJgSM5oY,30.0,40.0," ""/m/01s0vc","/m/09x0r"""," ""/m/01s0vc, /m/09x0r"""
FmK8BBMXgcM,0.0,10.0," ""/m/07pp_mv","/m/09x0r"""," ""/m/07pp_mv, /m/09x0r"""
FmYgDLclepw,10.0,20.0," ""/m/04fq5q","/m/09x0r"""," ""/m/04fq5q, /m/09x0r"""
Fmfa8mfy68g,240.0,250.0," ""/m/024dl","/m/09x0r"""," ""/m/024dl, /m/09x0r"""
Fo1GjIO4su8,20.0,30.0," ""/m/0261r1","/m/09x0r"""," ""/m/0261r1, /m/09x0r"""
Fq5rUJfqf3I,270.0,280.0," ""/m/09x0r","/t/dd00088"""," ""/m/09x0r, /t/dd00088"""
FqQ5QaNPGuU,30.0,40.0," ""/m/02zsn","/m/09x0r"""," ""/m/02zsn, /m/09x0r"""
FrpUQxK3vc0,30.0,40.0," ""/m/05rj2","/m/09x0r"""," ""/m/05rj2, /m/09x0r"""
FryyzTMnbCg,510.0,520.0," ""/m/07qfr4h","/m/09x0r"""," ""/m/07qfr4h, /m/09x0r"""
Fu8Ze7MgXb4,40.0,50.0," ""/m/01b_21","/m/09x0r"""," ""/m/01b_21, /m/09x0r"""
FvCqbVIWjeE,30.0,40.0," ""/m/07qz6j3","/m/09x0r"""," ""/m/07qz6j3, /m/09x0r"""
Fvng1_-sztw,90.0,100.0," ""/m/07pyy8b","/m/09x0r"""," ""/m/07pyy8b, /m/09x0r"""
FyFOaDtKdRY,30.0,40.0," ""/m/030rvx","/m/09x0r"""," ""/m/030rvx, /m/09x0r"""
FydTsFi8JNw,30.0,40.0," ""/m/07pjwq1","/m/09x0r"""," ""/m/07pjwq1, /m/09x0r"""
FznUjYIBN68,20.0,30.0," ""/m/09x0r","/t/dd00013"""," ""/m/09x0r, /t/dd00013"""
G5KNKGOFjww,30.0,40.0," ""/m/06h7j","/m/09x0r"""," ""/m/06h7j, /m/09x0r"""
G5P_VUgwTfM,130.0,140.0," ""/m/024dl","/m/09x0r"""," ""/m/024dl, /m/09x0r"""
G7xdEIWbI_4,380.0,390.0," ""/m/02p3nc","/m/09x0r"""," ""/m/02p3nc, /m/09x0r"""
G8i2JKIaEMk,30.0,40.0," ""/m/07qs1cx","/m/09x0r"""," ""/m/07qs1cx, /m/09x0r"""
G9NRwOalxaw,0.0,5.0," ""/m/07r660_","/m/09x0r"""," ""/m/07r660_, /m/09x0r"""
GB1aiADP2YI,0.0,10.0," ""/m/018w8","/m/09x0r"""," ""/m/018w8, /m/09x0r"""
GDk_-DgGipo,30.0,40.0," ""/m/07q4ntr","/m/09x0r"""," ""/m/07q4ntr, /m/09x0r"""
GEQe3d9ybrY,220.0,230.0," ""/m/07rgt08","/m/09x0r"""," ""/m/07rgt08, /m/09x0r"""
GFxmpuAS_fs,20.0,30.0," ""/m/07qyrcz","/m/09x0r"""," ""/m/07qyrcz, /m/09x0r"""
GGe_yR6LIwI,180.0,190.0," ""/m/07s04w4","/m/09x0r"""," ""/m/07s04w4, /m/09x0r"""
GIMv2yi-CSI,28.0,38.0," ""/m/03p19w","/m/09x0r"""," ""/m/03p19w, /m/09x0r"""
GLhehKexwd8,18.0,28.0," ""/m/07q0yl5","/m/09x0r"""," ""/m/07q0yl5, /m/09x0r"""
GNW693ojVvA,60.0,70.0," ""/m/07p7b8y","/m/09x0r"""," ""/m/07p7b8y, /m/09x0r"""
GNyXJQp6kME,30.0,40.0," ""/m/096m7z","/m/09x0r"""," ""/m/096m7z, /m/09x0r"""
GQ4YMVGgsMU,320.0,330.0," ""/m/03cczk","/m/09x0r"""," ""/m/03cczk, /m/09x0r"""
GRfMi0usR5c,30.0,40.0," ""/m/09x0r","/m/0brhx"""," ""/m/09x0r, /m/0brhx"""
GSUrOmwrCdw,460.0,470.0," ""/m/07rkbfh","/m/09x0r"""," ""/m/07rkbfh, /m/09x0r"""
GSaEuUDUmk8,25.0,35.0," ""/m/07rv9rh","/m/09x0r"""," ""/m/07rv9rh, /m/09x0r"""
GSalrhVVht4,28.0,38.0," ""/m/0939n_","/m/09x0r"""," ""/m/0939n_, /m/09x0r"""
GUh41q2MNEw,0.0,10.0," ""/m/05rj2","/m/09x0r"""," ""/m/05rj2, /m/09x0r"""
GXqLMCKTdSg,30.0,40.0," ""/m/02y_763","/m/09x0r"""," ""/m/02y_763, /m/09x0r"""
GZQGckAdTv4,30.0,40.0," ""/m/07qwdck","/m/09x0r"""," ""/m/07qwdck, /m/09x0r"""
G_TrD7F1FXc,20.0,30.0," ""/m/0463cq4","/m/09x0r"""," ""/m/0463cq4, /m/09x0r"""
G_hxZ38_4Rw,0.0,10.0," ""/m/01m4t","/m/09x0r"""," ""/m/01m4t, /m/09x0r"""
Ga2r3DZzJbk,30.0,40.0," ""/m/01h8n0","/m/09x0r"""," ""/m/01h8n0, /m/09x0r"""
GdJohlTA6tM,0.0,7.0," ""/m/07p6mqd","/m/09x0r"""," ""/m/07p6mqd, /m/09x0r"""
GeDXgtlqHvs,18.0,28.0," ""/m/07q0yl5","/m/09x0r"""," ""/m/07q0yl5, /m/09x0r"""
Gf6owJ8AY2E,420.0,430.0," ""/m/02x984l","/m/09x0r"""," ""/m/02x984l, /m/09x0r"""
GirPHUWbfq8,180.0,190.0," ""/m/025wky1","/m/09x0r"""," ""/m/025wky1, /m/09x0r"""
Gjo83FC5sh0,40.0,50.0," ""/m/07prgkl","/m/09x0r"""," ""/m/07prgkl, /m/09x0r"""
GkpKxrepSjU,140.0,150.0," ""/m/07prgkl","/m/09x0r"""," ""/m/07prgkl, /m/09x0r"""
Gmb2nLsvh4A,0.0,10.0," ""/m/0261r1","/m/09x0r"""," ""/m/0261r1, /m/09x0r"""
Gn8-hrFoNsU,60.0,70.0," ""/m/07qw_06","/m/09x0r"""," ""/m/07qw_06, /m/09x0r"""
GnRTkZahDXQ,30.0,40.0," ""/m/07qz6j3","/m/09x0r"""," ""/m/07qz6j3, /m/09x0r"""
GpQa44BZc2U,30.0,40.0," ""/m/07ppn3j","/m/09x0r"""," ""/m/07ppn3j, /m/09x0r"""
GrX2lk2KemI,10.0,20.0," ""/m/012xff","/m/09x0r"""," ""/m/012xff, /m/09x0r"""
Gt50mgYkDH0,100.0,110.0," ""/m/012xff","/m/09x0r"""," ""/m/012xff, /m/09x0r"""
Gt58Twijku4,30.0,40.0," ""/m/07plz5l","/m/09x0r"""," ""/m/07plz5l, /m/09x0r"""
Gt8JY-8RDm0,30.0,40.0," ""/m/07qrkrw","/m/09x0r"""," ""/m/07qrkrw, /m/09x0r"""
GvrJwmeLYg0,70.0,80.0," ""/m/07rrh0c","/m/09x0r"""," ""/m/07rrh0c, /m/09x0r"""
GxQyHMc0n6M,30.0,40.0," ""/m/01m4t","/m/09x0r"""," ""/m/01m4t, /m/09x0r"""
Gxzp6C1cDzU,140.0,150.0," ""/m/07qw_06","/m/09x0r"""," ""/m/07qw_06, /m/09x0r"""
H1RZqx1o92I,230.0,240.0," ""/m/0261r1","/m/09x0r"""," ""/m/0261r1, /m/09x0r"""
H1RcmHpko-8,30.0,40.0," ""/m/07qv_x_","/m/09x0r"""," ""/m/07qv_x_, /m/09x0r"""
H1lauHGBx7c,21.0,31.0," ""/m/02dgv","/m/09x0r"""," ""/m/02dgv, /m/09x0r"""
H2pTKitY56w,450.0,460.0," ""/m/011k_j","/m/09x0r"""," ""/m/011k_j, /m/09x0r"""
H5fekAe_6pY,30.0,40.0," ""/m/09x0r","/m/0dl9sf8"""," ""/m/09x0r, /m/0dl9sf8"""
H5i5Q9LmPX0,30.0,40.0," ""/m/01s0vc","/m/09x0r"""," ""/m/01s0vc, /m/09x0r"""
H6NL5yE-f2c,180.0,190.0," ""/m/06_fw","/m/09x0r"""," ""/m/06_fw, /m/09x0r"""
H7VNG9Xg4Zc,360.0,370.0," ""/m/046dlr","/m/09x0r"""," ""/m/046dlr, /m/09x0r"""
H86WITYzENQ,300.0,310.0," ""/m/07sx8x_","/m/09x0r"""," ""/m/07sx8x_, /m/09x0r"""
H9D844BXDyM,10.0,20.0," ""/m/0463cq4","/m/09x0r"""," ""/m/0463cq4, /m/09x0r"""
HAzcTjfVq34,330.0,340.0," ""/m/0199g","/m/09x0r"""," ""/m/0199g, /m/09x0r"""
HCyAntr4p_g,30.0,40.0," ""/m/03q5_w","/m/09x0r"""," ""/m/03q5_w, /m/09x0r"""
HHFnMqzW54k,30.0,40.0," ""/m/09x0r","/m/0g6b5"""," ""/m/09x0r, /m/0g6b5"""
HMK0GI0QxPY,40.0,50.0," ""/m/0463cq4","/m/09x0r"""," ""/m/0463cq4, /m/09x0r"""
HNQJ_Oe7CmE,30.0,40.0," ""/m/02qldy","/m/09x0r"""," ""/m/02qldy, /m/09x0r"""
HO5LZZ7Uijo,210.0,220.0," ""/m/07pqc89","/m/09x0r"""," ""/m/07pqc89, /m/09x0r"""
HOdE_yWoSRY,30.0,40.0," ""/m/07pyf11","/m/09x0r"""," ""/m/07pyf11, /m/09x0r"""
HVrbLuStrhI,520.0,530.0," ""/m/08j51y","/m/09x0r"""," ""/m/08j51y, /m/09x0r"""
HWdP0l2Voxg,140.0,150.0," ""/m/01z47d","/m/09x0r"""," ""/m/01z47d, /m/09x0r"""
HZiZYd9DE9Q,100.0,110.0," ""/m/09x0r","/m/0gy1t2s"""," ""/m/09x0r, /m/0gy1t2s"""
H_mBtFDCjZs,30.0,40.0," ""/m/02qldy","/m/09x0r"""," ""/m/02qldy, /m/09x0r"""
H_rFprZUVBE,3.0,13.0," ""/m/07q6cd_","/m/09x0r"""," ""/m/07q6cd_, /m/09x0r"""
HalZaZBjYGw,50.0,60.0," ""/m/07bjf","/m/09x0r"""," ""/m/07bjf, /m/09x0r"""
HcdDoF-gBCw,180.0,190.0," ""/m/07qn4z3","/m/09x0r"""," ""/m/07qn4z3, /m/09x0r"""
Hefq5FbQVJA,70.0,80.0," ""/m/07pzfmf","/m/09x0r"""," ""/m/07pzfmf, /m/09x0r"""
HfBzjV1GHQ0,50.0,60.0," ""/m/07rrlb6","/m/09x0r"""," ""/m/07rrlb6, /m/09x0r"""
HgdKafq2YQA,330.0,340.0," ""/m/06_fw","/m/09x0r"""," ""/m/06_fw, /m/09x0r"""
HiQrkS04hyA,30.0,40.0," ""/m/06h7j","/m/09x0r"""," ""/m/06h7j, /m/09x0r"""
Hk3f84AJen0,150.0,160.0," ""/m/07pbtc8","/m/09x0r"""," ""/m/07pbtc8, /m/09x0r"""
Hldpgojb8tc,0.0,10.0," ""/m/07qyrcz","/m/09x0r"""," ""/m/07qyrcz, /m/09x0r"""
HqS5gBt59TY,10.0,20.0," ""/m/07p6fty","/m/09x0r"""," ""/m/07p6fty, /m/09x0r"""
HvFLYLuVW9g,0.0,10.0," ""/m/07r4wb8","/m/09x0r"""," ""/m/07r4wb8, /m/09x0r"""
HvFzjf4R3sk,0.0,10.0," ""/m/018w8","/m/09x0r"""," ""/m/018w8, /m/09x0r"""
Hw9HNLk5pbU,30.0,40.0," ""/m/02rtxlg","/m/09x0r"""," ""/m/02rtxlg, /m/09x0r"""
HwANigT-NEc,150.0,160.0," ""/m/08j51y","/m/09x0r"""," ""/m/08j51y, /m/09x0r"""
Hwub5mktZcE,320.0,330.0," ""/m/012xff","/m/09x0r"""," ""/m/012xff, /m/09x0r"""
HzUEAJvYzg4,24.0,34.0," ""/m/07pxg6y","/m/09x0r"""," ""/m/07pxg6y, /m/09x0r"""
I0-jGPmh5Bw,30.0,40.0," ""/m/09x0r","/t/dd00018"""," ""/m/09x0r, /t/dd00018"""
I1N3fRcPJwg,440.0,450.0," ""/m/08p9q4","/m/09x0r"""," ""/m/08p9q4, /m/09x0r"""
I2FnnsvMj6Y,280.0,290.0," ""/m/09x0r","/m/0dv5r"""," ""/m/09x0r, /m/0dv5r"""
I2ZLX89ycjc,80.0,90.0," ""/m/02fs_r","/m/09x0r"""," ""/m/02fs_r, /m/09x0r"""
I6YfsWzCvLI,30.0,40.0," ""/m/09x0r","/m/0c3f7m"""," ""/m/09x0r, /m/0c3f7m"""
I82-B02oOBg,380.0,390.0," ""/m/09x0r","/m/0c2wf"""," ""/m/09x0r, /m/0c2wf"""
